,0
2009-01-04,
2009-01-11,
2009-01-18,
2009-01-25,
2009-02-01,
2009-02-08,
2009-02-15,
2009-02-22,
2009-03-01,
2009-03-08,
2009-03-15,
2009-03-22,
2009-03-29,
2009-04-05,
2009-04-12,
2009-04-19,
2009-04-26,
2009-05-03,
2009-05-10,
2009-05-17,
2009-05-24,
2009-05-31,
2009-06-07,
2009-06-14,
2009-06-21,
2009-06-28,
2009-07-05,
2009-07-12,
2009-07-19,
2009-07-26,
2009-08-02,
2009-08-09,
2009-08-16,
2009-08-23,
2009-08-30,
2009-09-06,
2009-09-13,
2009-09-20,
2009-09-27,
2009-10-04,
2009-10-11,
2009-10-18,
2009-10-25,
2009-11-01,
2009-11-08,
2009-11-15,
2009-11-22,
2009-11-29,
2009-12-06,
2009-12-13,
2009-12-20,
2009-12-27,
2010-01-03,
2010-01-10,
2010-01-17,
2010-01-24,
2010-01-31,
2010-02-07,
2010-02-14,
2010-02-21,
2010-02-28,
2010-03-07,
2010-03-14,
2010-03-21,
2010-03-28,
2010-04-04,
2010-04-11,
2010-04-18,
2010-04-25,
2010-05-02,
2010-05-09,
2010-05-16,0.0
2010-05-23,
2010-05-30,0.14285714285714285
2010-06-06,
2010-06-13,
2010-06-20,
2010-06-27,
2010-07-04,
2010-07-11,
2010-07-18,
2010-07-25,
2010-08-01,
2010-08-08,
2010-08-15,
2010-08-22,0.3333333333333333
2010-08-29,0.25
2010-09-05,
2010-09-12,
2010-09-19,
2010-09-26,
2010-10-03,
2010-10-10,
2010-10-17,
2010-10-24,
2010-10-31,
2010-11-07,
2010-11-14,0.5
2010-11-21,0.6666666666666666
2010-11-28,
2010-12-05,
2010-12-12,0.3333333333333333
2010-12-19,
2010-12-26,
2011-01-02,
2011-01-09,
2011-01-16,0.4444444444444444
2011-01-23,0.75
2011-01-30,0.125
2011-02-06,
2011-02-13,
2011-02-20,0.3333333333333333
2011-02-27,0.25
2011-03-06,0.6666666666666666
2011-03-13,0.42857142857142855
2011-03-20,0.5555555555555556
2011-03-27,0.42857142857142855
2011-04-03,0.25
2011-04-10,0.5
2011-04-17,0.75
2011-04-24,0.3333333333333333
2011-05-01,0.6
2011-05-08,0.375
2011-05-15,0.6666666666666666
2011-05-22,0.375
2011-05-29,0.2
2011-06-05,0.5
2011-06-12,0.5833333333333334
2011-06-19,0.5384615384615384
2011-06-26,0.2857142857142857
2011-07-03,0.3333333333333333
2011-07-10,0.4
2011-07-17,0.45454545454545453
2011-07-24,0.75
2011-07-31,0.6363636363636364
2011-08-07,0.75
2011-08-14,
2011-08-21,0.4
2011-08-28,0.3333333333333333
2011-09-04,0.5714285714285714
2011-09-11,0.5833333333333334
2011-09-18,0.4444444444444444
2011-09-25,0.5333333333333333
2011-10-02,0.125
2011-10-09,0.2727272727272727
2011-10-16,0.3
2011-10-23,0.5454545454545454
2011-10-30,0.3333333333333333
2011-11-06,0.3333333333333333
2011-11-13,0.5
2011-11-20,0.7272727272727273
2011-11-27,0.6363636363636364
2011-12-04,0.35714285714285715
2011-12-11,0.5555555555555556
2011-12-18,0.2222222222222222
2011-12-25,
2012-01-01,0.4444444444444444
2012-01-08,0.625
2012-01-15,0.4166666666666667
2012-01-22,0.4583333333333333
2012-01-29,0.4
2012-02-05,0.6875
2012-02-12,0.47619047619047616
2012-02-19,0.4117647058823529
2012-02-26,0.6666666666666666
2012-03-04,0.6111111111111112
2012-03-11,0.6666666666666666
2012-03-18,0.6428571428571429
