id,category,duration,Type d'objectif,goal,status,original_start_date,original_end_date_raw,start_date,original_end_date,end_date
191347,food-and-agriculture,60.0,amount,5000.0,failed,2023-06-30T12:23:13,2023-08-29T21:59:59,2023-06-30 12:23:13+00:00,2023-08-29 21:59:59+00:00,2023-08-29 21:59:59+00:00
204086,craft,60.0,amount,3250.0,failed,2023-05-19T16:29:30,2023-07-18T21:59:59,2023-05-19 16:29:30+00:00,2023-07-18 21:59:59+00:00,2023-07-18 21:59:59+00:00
218391,art,30.0,amount,3000.0,successful,2023-06-24T19:28:23,2023-07-24T21:59:59,2023-06-24 19:28:23+00:00,2023-07-24 21:59:59+00:00,2023-07-24 21:59:59+00:00
241321,art,103.0,amount,4400.0,successful,2021-11-24T09:09:25,2024-01-17T17:24:49,2021-11-24 09:09:25+00:00,2024-01-17 17:24:49+00:00,2024-01-17 17:24:49+00:00
245269,food-and-agriculture,45.0,amount,10000.0,failed,2023-06-08T22:06:48,2023-07-24T21:59:59,2023-06-08 22:06:48+00:00,2023-07-24 21:59:59+00:00,2023-07-24 21:59:59+00:00
246110,cityzenship-and-solidarity,45.0,amount,5000.0,successful,2023-05-30T16:35:32,2023-07-14T21:59:59,2023-05-30 16:35:32+00:00,2023-07-14 21:59:59+00:00,2023-07-14 21:59:59+00:00
251866,film-and-video,44.0,amount,7500.0,successful,2023-05-24T09:53:04,2023-07-07T21:59:59,2023-05-24 09:53:04+00:00,2023-07-07 21:59:59+00:00,2023-07-07 21:59:59+00:00
256701,film-and-video,40.0,amount,6000.0,failed,2023-06-07T07:21:01,2023-07-17T21:59:59,2023-06-07 07:21:01+00:00,2023-07-17 21:59:59+00:00,2023-07-17 21:59:59+00:00
263133,music,50.0,amount,5000.0,successful,2023-06-20T07:16:55,2023-08-09T21:59:59,2023-06-20 07:16:55+00:00,2023-08-09 21:59:59+00:00,2023-08-09 21:59:59+00:00
269715,film-and-video,155.0,amount,5000.0,failed,2023-06-08T14:25:18,2023-11-10T22:59:59,2023-06-08 14:25:18+00:00,2023-11-10 22:59:59+00:00,2023-11-10 22:59:59+00:00
269938,well-being-and-health,60.0,amount,15000.0,failed,2023-05-20T08:22:52,2023-07-19T21:59:59,2023-05-20 08:22:52+00:00,2023-07-19 21:59:59+00:00,2023-07-19 21:59:59+00:00
270949,games,41.0,amount,55000.0,successful,2023-06-20T20:41:48,2023-07-31T21:59:59,2023-06-20 20:41:48+00:00,2023-07-31 21:59:59+00:00,2023-07-31 21:59:59+00:00
271396,film-and-video,77.0,amount,16500.0,successful,2023-04-23T07:26:54,2023-07-09T21:59:59,2023-04-23 07:26:54+00:00,2023-07-09 21:59:59+00:00,2023-07-09 21:59:59+00:00
270912,web-and-tech,45.0,amount,2000.0,successful,2023-05-26T08:52:17,2023-07-10T21:59:59,2023-05-26 08:52:17+00:00,2023-07-10 21:59:59+00:00,2023-07-10 21:59:59+00:00
274771,adventure-and-sport,93.0,amount,6000.0,successful,2023-06-26T22:09:25,2023-09-28T21:59:59,2023-06-26 22:09:25+00:00,2023-09-28 21:59:59+00:00,2023-09-28 21:59:59+00:00
274844,well-being-and-health,80.0,amount,20000.0,successful,2023-06-26T13:46:08,2023-09-14T21:59:59,2023-06-26 13:46:08+00:00,2023-09-14 21:59:59+00:00,2023-09-14 21:59:59+00:00
275261,food-and-agriculture,85.0,amount,5000.0,successful,2023-05-16T08:33:58,2023-08-09T21:59:59,2023-05-16 08:33:58+00:00,2023-08-09 21:59:59+00:00,2023-08-09 21:59:59+00:00
275413,music,36.0,amount,15000.0,successful,2023-06-02T08:52:20,2023-07-08T21:59:59,2023-06-02 08:52:20+00:00,2023-07-08 21:59:59+00:00,2023-07-08 21:59:59+00:00
272901,music,45.0,amount,1000.0,successful,2023-05-24T16:11:08,2023-07-08T21:59:59,2023-05-24 16:11:08+00:00,2023-07-08 21:59:59+00:00,2023-07-08 21:59:59+00:00
273243,live-performance,31.0,amount,8000.0,failed,2023-06-01T09:37:17,2023-07-02T21:59:59,2023-06-01 09:37:17+00:00,2023-07-02 21:59:59+00:00,2023-07-02 21:59:59+00:00
275593,food-and-agriculture,60.0,amount,15000.0,successful,2023-05-03T05:59:21,2023-07-02T21:59:59,2023-05-03 05:59:21+00:00,2023-07-02 21:59:59+00:00,2023-07-02 21:59:59+00:00
276015,food-and-agriculture,49.0,amount,3800.0,successful,2023-05-17T23:03:00,2023-07-06T21:59:59,2023-05-17 23:03:00+00:00,2023-07-06 21:59:59+00:00,2023-07-06 21:59:59+00:00
276241,craft,60.0,amount,3200.0,successful,2023-06-05T18:11:46,2023-08-04T21:59:59,2023-06-05 18:11:46+00:00,2023-08-04 21:59:59+00:00,2023-08-04 21:59:59+00:00
276484,journalism,50.0,amount,5000.0,successful,2023-06-28T09:50:52,2023-08-17T21:59:59,2023-06-28 09:50:52+00:00,2023-08-17 21:59:59+00:00,2023-08-17 21:59:59+00:00
273719,patrimony,60.0,amount,15000.0,failed,2023-05-16T15:19:18,2023-07-15T21:59:59,2023-05-16 15:19:18+00:00,2023-07-15 21:59:59+00:00,2023-07-15 21:59:59+00:00
277090,patrimony,35.0,amount,10000.0,failed,2023-05-30T16:04:32,2023-07-04T21:59:59,2023-05-30 16:04:32+00:00,2023-07-04 21:59:59+00:00,2023-07-04 21:59:59+00:00
277603,craft,35.0,amount,10000.0,successful,2023-05-29T07:24:55,2023-07-03T21:59:59,2023-05-29 07:24:55+00:00,2023-07-03 21:59:59+00:00,2023-07-03 21:59:59+00:00
277700,music,60.0,amount,700.0,failed,2023-05-15T13:34:20,2023-07-14T21:59:59,2023-05-15 13:34:20+00:00,2023-07-14 21:59:59+00:00,2023-07-14 21:59:59+00:00
277803,web-and-tech,50.0,amount,18000.0,failed,2023-06-20T13:41:22,2023-08-09T21:59:59,2023-06-20 13:41:22+00:00,2023-08-09 21:59:59+00:00,2023-08-09 21:59:59+00:00
277989,well-being-and-health,50.0,amount,3500.0,successful,2023-05-15T16:09:25,2023-07-04T21:59:59,2023-05-15 16:09:25+00:00,2023-07-04 21:59:59+00:00,2023-07-04 21:59:59+00:00
278396,music,40.0,amount,2500.0,successful,2023-06-30T05:35:48,2023-08-09T21:59:59,2023-06-30 05:35:48+00:00,2023-08-09 21:59:59+00:00,2023-08-09 21:59:59+00:00
275962,art,60.0,amount,10000.0,failed,2023-05-31T09:29:03,2023-07-30T21:59:59,2023-05-31 09:29:03+00:00,2023-07-30 21:59:59+00:00,2023-07-30 21:59:59+00:00
279040,live-performance,60.0,amount,8000.0,successful,2023-06-30T09:04:32,2023-08-29T21:59:59,2023-06-30 09:04:32+00:00,2023-08-29 21:59:59+00:00,2023-08-29 21:59:59+00:00
279881,cityzenship-and-solidarity,60.0,amount,1200.0,successful,2023-05-14T20:09:30,2023-07-13T21:59:59,2023-05-14 20:09:30+00:00,2023-07-13 21:59:59+00:00,2023-07-13 21:59:59+00:00
279940,cityzenship-and-solidarity,74.0,amount,20000.0,successful,2023-04-20T08:39:09,2023-07-03T21:59:59,2023-04-20 08:39:09+00:00,2023-07-03 21:59:59+00:00,2023-07-03 21:59:59+00:00
280001,music,35.0,amount,17500.0,successful,2023-05-30T04:07:45,2023-07-04T21:59:59,2023-05-30 04:07:45+00:00,2023-07-04 21:59:59+00:00,2023-07-04 21:59:59+00:00
280294,cityzenship-and-solidarity,60.0,amount,2500.0,successful,2023-05-09T15:52:35,2023-07-08T21:59:59,2023-05-09 15:52:35+00:00,2023-07-08 21:59:59+00:00,2023-07-08 21:59:59+00:00
276988,web-and-tech,62.0,amount,3000.0,successful,2023-05-16T09:56:32,2023-07-17T21:59:59,2023-05-16 09:56:32+00:00,2023-07-17 21:59:59+00:00,2023-07-17 21:59:59+00:00
277170,food-and-agriculture,35.0,amount,6000.0,successful,2023-06-14T07:15:26,2023-07-19T21:59:59,2023-06-14 07:15:26+00:00,2023-07-19 21:59:59+00:00,2023-07-19 21:59:59+00:00
277645,music,40.0,amount,3000.0,successful,2023-06-22T13:42:29,2023-08-01T21:59:59,2023-06-22 13:42:29+00:00,2023-08-01 21:59:59+00:00,2023-08-01 21:59:59+00:00
277889,games,52.0,amount,4000.0,successful,2023-05-16T10:51:14,2023-07-07T21:59:59,2023-05-16 10:51:14+00:00,2023-07-07 21:59:59+00:00,2023-07-07 21:59:59+00:00
278288,food-and-agriculture,62.0,amount,1000.0,successful,2023-05-16T16:30:50,2023-07-17T21:59:59,2023-05-16 16:30:50+00:00,2023-07-17 21:59:59+00:00,2023-07-17 21:59:59+00:00
278295,cityzenship-and-solidarity,55.0,amount,4000.0,successful,2023-05-16T13:58:43,2023-07-10T21:59:59,2023-05-16 13:58:43+00:00,2023-07-10 21:59:59+00:00,2023-07-10 21:59:59+00:00
278302,cityzenship-and-solidarity,60.0,amount,2800.0,successful,2023-05-16T14:47:11,2023-07-15T21:59:59,2023-05-16 14:47:11+00:00,2023-07-15 21:59:59+00:00,2023-07-15 21:59:59+00:00
278490,well-being-and-health,98.0,amount,3000.0,successful,2023-05-16T15:00:11,2023-08-22T21:59:59,2023-05-16 15:00:11+00:00,2023-08-22 21:59:59+00:00,2023-08-22 21:59:59+00:00
