id,category,duration,Type d'objectif,goal,status,original_start_date,original_end_date_raw,start_date,original_end_date,end_date
241045,food-and-agriculture,31.0,amount,1233232.0,failed,2023-07-18T11:27:44,2023-08-18T21:59:59,2023-07-18 11:27:44+00:00,2023-08-18 21:59:59+00:00,2023-08-18 21:59:59+00:00
268583,craft,60.0,amount,500.0,failed,2023-08-25T19:55:41,2023-10-24T21:59:59,2023-08-25 19:55:41+00:00,2023-10-24 21:59:59+00:00,2023-10-24 21:59:59+00:00
269817,food-and-agriculture,40.0,amount,5000.0,successful,2023-07-05T09:57:01,2023-08-14T21:59:59,2023-07-05 09:57:01+00:00,2023-08-14 21:59:59+00:00,2023-08-14 21:59:59+00:00
269878,food-and-agriculture,60.0,amount,6000.0,successful,2023-08-01T13:52:06,2023-09-30T21:59:59,2023-08-01 13:52:06+00:00,2023-09-30 21:59:59+00:00,2023-09-30 21:59:59+00:00
272308,art,35.0,amount,1000.0,successful,2023-08-03T12:39:55,2023-09-07T21:59:59,2023-08-03 12:39:55+00:00,2023-09-07 21:59:59+00:00,2023-09-07 21:59:59+00:00
272854,craft,30.0,amount,3500.0,failed,2023-07-06T10:23:07,2023-08-05T21:59:59,2023-07-06 10:23:07+00:00,2023-08-05 21:59:59+00:00,2023-08-05 21:59:59+00:00
273646,design-and-innovation,30.0,amount,20000.0,failed,2023-07-03T15:51:02,2023-08-02T21:59:59,2023-07-03 15:51:02+00:00,2023-08-02 21:59:59+00:00,2023-08-02 21:59:59+00:00
274371,cityzenship-and-solidarity,60.0,amount,1500.0,failed,2023-07-06T14:43:44,2023-09-04T21:59:59,2023-07-06 14:43:44+00:00,2023-09-04 21:59:59+00:00,2023-09-04 21:59:59+00:00
278453,craft,35.0,amount,4000.0,successful,2023-07-04T07:42:24,2023-08-08T21:59:59,2023-07-04 07:42:24+00:00,2023-08-08 21:59:59+00:00,2023-08-08 21:59:59+00:00
280023,cityzenship-and-solidarity,50.0,amount,1500.0,failed,2023-07-03T09:43:58,2023-08-22T21:59:59,2023-07-03 09:43:58+00:00,2023-08-22 21:59:59+00:00,2023-08-22 21:59:59+00:00
280916,adventure-and-sport,35.0,amount,6000.0,successful,2023-08-01T13:18:59,2023-09-05T21:59:59,2023-08-01 13:18:59+00:00,2023-09-05 21:59:59+00:00,2023-09-05 21:59:59+00:00
281429,music,64.0,amount,5000.0,successful,2023-08-05T16:54:37,2023-10-08T21:59:59,2023-08-05 16:54:37+00:00,2023-10-08 21:59:59+00:00,2023-10-08 21:59:59+00:00
278684,film-and-video,40.0,amount,1000.0,successful,2023-07-11T14:29:15,2023-08-20T21:59:59,2023-07-11 14:29:15+00:00,2023-08-20 21:59:59+00:00,2023-08-20 21:59:59+00:00
282818,craft,58.0,amount,8000.0,successful,2023-07-11T18:21:16,2023-09-07T21:59:59,2023-07-11 18:21:16+00:00,2023-09-07 21:59:59+00:00,2023-09-07 21:59:59+00:00
283715,film-and-video,35.0,amount,2500.0,failed,2023-07-12T10:05:17,2023-08-16T21:59:59,2023-07-12 10:05:17+00:00,2023-08-16 21:59:59+00:00,2023-08-16 21:59:59+00:00
284684,art,45.0,amount,5000.0,successful,2023-08-14T01:44:36,2023-09-28T21:59:59,2023-08-14 01:44:36+00:00,2023-09-28 21:59:59+00:00,2023-09-28 21:59:59+00:00
284797,journalism,90.0,amount,35000.0,successful,2023-07-11T05:10:18,2023-10-09T21:59:59,2023-07-11 05:10:18+00:00,2023-10-09 21:59:59+00:00,2023-10-09 21:59:59+00:00
285517,music,60.0,amount,2000.0,successful,2023-07-14T15:53:20,2023-09-12T21:59:59,2023-07-14 15:53:20+00:00,2023-09-12 21:59:59+00:00,2023-09-12 21:59:59+00:00
286135,patrimony,60.0,amount,5000.0,failed,2023-08-04T10:07:21,2023-10-03T21:59:59,2023-08-04 10:07:21+00:00,2023-10-03 21:59:59+00:00,2023-10-03 21:59:59+00:00
286262,music,30.0,amount,5000.0,successful,2023-07-11T14:59:28,2023-08-10T21:59:59,2023-07-11 14:59:28+00:00,2023-08-10 21:59:59+00:00,2023-08-10 21:59:59+00:00
282768,craft,30.0,amount,6000.0,successful,2023-07-03T08:27:14,2023-08-02T21:59:59,2023-07-03 08:27:14+00:00,2023-08-02 21:59:59+00:00,2023-08-02 21:59:59+00:00
283463,food-and-agriculture,35.0,amount,2000.0,successful,2023-07-31T13:51:21,2023-09-04T21:59:59,2023-07-31 13:51:21+00:00,2023-09-04 21:59:59+00:00,2023-09-04 21:59:59+00:00
286600,food-and-agriculture,77.0,amount,5000.0,successful,2023-07-16T20:47:49,2023-10-01T21:59:59,2023-07-16 20:47:49+00:00,2023-10-01 21:59:59+00:00,2023-10-01 21:59:59+00:00
287034,art,60.0,amount,15000.0,successful,2023-07-05T05:53:24,2023-09-03T21:59:59,2023-07-05 05:53:24+00:00,2023-09-03 21:59:59+00:00,2023-09-03 21:59:59+00:00
287297,food-and-agriculture,50.0,amount,10000.0,failed,2023-07-07T07:13:12,2023-08-26T21:59:59,2023-07-07 07:13:12+00:00,2023-08-26 21:59:59+00:00,2023-08-26 21:59:59+00:00
287586,art,42.0,amount,1750.0,failed,2023-07-23T17:29:38,2023-09-03T21:59:59,2023-07-23 17:29:38+00:00,2023-09-03 21:59:59+00:00,2023-09-03 21:59:59+00:00
287756,music,45.0,amount,8000.0,failed,2023-07-06T08:27:39,2023-08-20T21:59:59,2023-07-06 08:27:39+00:00,2023-08-20 21:59:59+00:00,2023-08-20 21:59:59+00:00
287786,web-and-tech,35.0,amount,3000.0,failed,2023-07-16T07:44:18,2023-08-20T21:59:59,2023-07-16 07:44:18+00:00,2023-08-20 21:59:59+00:00,2023-08-20 21:59:59+00:00
287798,music,40.0,amount,3000.0,successful,2023-07-02T12:40:46,2023-08-11T21:59:59,2023-07-02 12:40:46+00:00,2023-08-11 21:59:59+00:00,2023-08-11 21:59:59+00:00
287945,music,33.0,amount,1200.0,successful,2023-07-05T09:56:37,2023-08-07T21:59:59,2023-07-05 09:56:37+00:00,2023-08-07 21:59:59+00:00,2023-08-07 21:59:59+00:00
287953,well-being-and-health,60.0,amount,2500.0,successful,2023-07-04T16:31:22,2023-09-02T21:59:59,2023-07-04 16:31:22+00:00,2023-09-02 21:59:59+00:00,2023-09-02 21:59:59+00:00
288049,live-performance,60.0,amount,1300.0,successful,2023-07-05T12:42:23,2023-09-03T21:59:59,2023-07-05 12:42:23+00:00,2023-09-03 21:59:59+00:00,2023-09-03 21:59:59+00:00
288165,games,60.0,amount,10000.0,failed,2023-07-03T19:50:39,2023-09-01T21:59:59,2023-07-03 19:50:39+00:00,2023-09-01 21:59:59+00:00,2023-09-01 21:59:59+00:00
288290,book-and-publishing,60.0,amount,15000.0,successful,2023-07-20T14:45:22,2023-09-18T21:59:59,2023-07-20 14:45:22+00:00,2023-09-18 21:59:59+00:00,2023-09-18 21:59:59+00:00
288433,web-and-tech,45.0,amount,9500.0,failed,2023-07-24T20:48:28,2023-09-07T21:59:59,2023-07-24 20:48:28+00:00,2023-09-07 21:59:59+00:00,2023-09-07 21:59:59+00:00
288538,craft,30.0,amount,8000.0,failed,2023-07-22T09:56:59,2023-08-21T21:59:59,2023-07-22 09:56:59+00:00,2023-08-21 21:59:59+00:00,2023-08-21 21:59:59+00:00
288732,food-and-agriculture,50.0,amount,6000.0,successful,2023-07-05T07:09:30,2023-08-24T21:59:59,2023-07-05 07:09:30+00:00,2023-08-24 21:59:59+00:00,2023-08-24 21:59:59+00:00
288761,food-and-agriculture,60.0,amount,8000.0,successful,2023-07-05T09:22:30,2023-09-03T21:59:59,2023-07-05 09:22:30+00:00,2023-09-03 21:59:59+00:00,2023-09-03 21:59:59+00:00
288849,craft,40.0,amount,2500.0,successful,2023-07-12T13:34:55,2023-08-21T21:59:59,2023-07-12 13:34:55+00:00,2023-08-21 21:59:59+00:00,2023-08-21 21:59:59+00:00
288879,film-and-video,45.0,amount,6000.0,failed,2023-07-05T08:50:33,2023-08-19T21:59:59,2023-07-05 08:50:33+00:00,2023-08-19 21:59:59+00:00,2023-08-19 21:59:59+00:00
288896,cityzenship-and-solidarity,35.0,amount,1000.0,successful,2023-07-04T10:27:35,2023-08-08T21:59:59,2023-07-04 10:27:35+00:00,2023-08-08 21:59:59+00:00,2023-08-08 21:59:59+00:00
288955,art,40.0,amount,1000.0,successful,2023-07-31T09:46:34,2023-09-09T21:59:59,2023-07-31 09:46:34+00:00,2023-09-09 21:59:59+00:00,2023-09-09 21:59:59+00:00
288984,film-and-video,35.0,amount,1532.0,successful,2023-07-07T12:13:11,2023-08-11T21:59:59,2023-07-07 12:13:11+00:00,2023-08-11 21:59:59+00:00,2023-08-11 21:59:59+00:00
289049,book-and-publishing,35.0,amount,5000.0,successful,2023-07-24T06:02:35,2023-08-28T21:59:59,2023-07-24 06:02:35+00:00,2023-08-28 21:59:59+00:00,2023-08-28 21:59:59+00:00
289153,cityzenship-and-solidarity,60.0,amount,2500.0,failed,2023-07-10T16:32:46,2023-09-08T21:59:59,2023-07-10 16:32:46+00:00,2023-09-08 21:59:59+00:00,2023-09-08 21:59:59+00:00
289192,adventure-and-sport,60.0,amount,1000.0,failed,2023-07-04T13:00:01,2023-09-02T21:59:59,2023-07-04 13:00:01+00:00,2023-09-02 21:59:59+00:00,2023-09-02 21:59:59+00:00
289193,cityzenship-and-solidarity,60.0,amount,10000.0,failed,2023-07-03T13:58:27,2023-09-01T21:59:59,2023-07-03 13:58:27+00:00,2023-09-01 21:59:59+00:00,2023-09-01 21:59:59+00:00
289195,cityzenship-and-solidarity,21.0,amount,1300.0,successful,2023-07-04T10:31:01,2023-07-25T21:59:59,2023-07-04 10:31:01+00:00,2023-07-25 21:59:59+00:00,2023-07-25 21:59:59+00:00
289209,music,60.0,amount,3200.0,successful,2023-07-18T16:08:33,2023-09-16T21:59:59,2023-07-18 16:08:33+00:00,2023-09-16 21:59:59+00:00,2023-09-16 21:59:59+00:00
289216,web-and-tech,60.0,amount,6000.0,successful,2023-07-14T08:51:15,2023-09-12T21:59:59,2023-07-14 08:51:15+00:00,2023-09-12 21:59:59+00:00,2023-09-12 21:59:59+00:00
289220,cityzenship-and-solidarity,35.0,amount,4500.0,successful,2023-07-16T13:47:07,2023-08-20T21:59:59,2023-07-16 13:47:07+00:00,2023-08-20 21:59:59+00:00,2023-08-20 21:59:59+00:00
289228,film-and-video,35.0,amount,5000.0,successful,2023-07-18T14:14:49,2023-08-22T21:59:59,2023-07-18 14:14:49+00:00,2023-08-22 21:59:59+00:00,2023-08-22 21:59:59+00:00
289291,book-and-publishing,60.0,amount,4000.0,failed,2023-07-06T12:28:48,2023-09-04T21:59:59,2023-07-06 12:28:48+00:00,2023-09-04 21:59:59+00:00,2023-09-04 21:59:59+00:00
289321,craft,15.0,amount,5000.0,successful,2023-07-13T10:29:37,2023-07-28T21:59:59,2023-07-13 10:29:37+00:00,2023-07-28 21:59:59+00:00,2023-07-28 21:59:59+00:00
289351,cityzenship-and-solidarity,45.0,amount,6000.0,failed,2023-07-06T13:08:10,2023-08-20T21:59:59,2023-07-06 13:08:10+00:00,2023-08-20 21:59:59+00:00,2023-08-20 21:59:59+00:00
289505,web-and-tech,60.0,amount,5000.0,failed,2023-07-10T10:42:52,2023-09-08T21:59:59,2023-07-10 10:42:52+00:00,2023-09-08 21:59:59+00:00,2023-09-08 21:59:59+00:00
289515,design-and-innovation,39.0,amount,4000.0,failed,2023-07-20T08:19:52,2023-08-28T21:59:59,2023-07-20 08:19:52+00:00,2023-08-28 21:59:59+00:00,2023-08-28 21:59:59+00:00
289611,cityzenship-and-solidarity,50.0,amount,6000.0,successful,2023-07-17T17:33:41,2023-09-05T21:59:59,2023-07-17 17:33:41+00:00,2023-09-05 21:59:59+00:00,2023-09-05 21:59:59+00:00
289633,web-and-tech,60.0,amount,1000.0,failed,2023-07-13T09:58:29,2023-09-11T21:59:59,2023-07-13 09:58:29+00:00,2023-09-11 21:59:59+00:00,2023-09-11 21:59:59+00:00
289684,music,60.0,amount,5000.0,failed,2023-07-21T07:40:30,2023-09-19T21:59:59,2023-07-21 07:40:30+00:00,2023-09-19 21:59:59+00:00,2023-09-19 21:59:59+00:00
289703,book-and-publishing,40.0,amount,1200.0,failed,2023-07-11T12:09:43,2023-08-20T21:59:59,2023-07-11 12:09:43+00:00,2023-08-20 21:59:59+00:00,2023-08-20 21:59:59+00:00
289808,film-and-video,31.0,amount,10000.0,failed,2023-07-13T08:41:47,2023-08-13T21:59:59,2023-07-13 08:41:47+00:00,2023-08-13 21:59:59+00:00,2023-08-13 21:59:59+00:00
